P,um,Fluid,SAT,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
2000000,49.6,Water,Pressure,0.03272,22.4132,31.647,0.000685,0.1,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.01653,8.5956,17.75193333,0.00052,0.1,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00941,6.44585,17.42183333,0.000685,0.2,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00557,3.81545,10.956575,0.000685,0.3,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.0096,3.84,9.748,0.0004,0.1,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00522,2.7144,9.002933333,0.00052,0.2,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00352,2.4112,7.421975,0.000685,0.4,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00301,1.5652,7.2852,0.00052,0.3,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.0052,1.924,6.229566667,0.00037,0.1,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00211,1.0972,5.577,0.00052,0.4,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.0033,1.32,5.288666667,0.0004,0.2,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00201,0.804,4.122666667,0.0004,0.3,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00151,0.604,3.213333333,0.0004,0.4,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00184,0.6808,3.025366667,0.00037,0.2,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00103,0.3811,2.068916667,0.00037,0.3,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.02088,17.24688,41.74053333,0.000826,0.1,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00601,4.96426,16.78845,0.000826,0.2,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.01066,6.58788,12.88118,0.000618,0.1,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00666,3.32334,9.779568333,0.000499,0.1,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00305,2.5193,8.32608,0.000826,0.3,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00343,2.11974,7.54681,0.000618,0.2,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00186,1.14948,6.11099,0.000618,0.3,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00214,1.76764,5.371753333,0.000826,0.4,0.006,7,0.000625,0.001,0.6,1000
