y,u
0,3.35E-14
0.004780218,7.92E-02
0.006420861,1.06E-01
0.007833757,1.30E-01
0.009986511,1.66E-01
0.0158828,2.57E-01
0.017572605,2.84E-01
0.019118101,3.08E-01
0.02199941,3.53E-01
0.037646934,5.55E-01
0.038346858,5.65E-01
0.0495906,7.14E-01
0.061181001,8.66E-01
0.06169342,8.72E-01
0.063640952,8.94E-01
0.065072928,9.06E-01
0.068836261,9.38E-01
0.0779832,1.02E+00
0.125517688,1.35E+00
0.125713151,1.35E+00
0.126102233,1.35E+00
0.144229907,1.42E+00
0.168275793,1.48E+00
0.184450937,1.52E+00
0.186476278,1.52E+00
0.203831047,1.54E+00
0.234467302,1.55E+00
0.255395007,1.54E+00
0.257553794,1.54E+00
0.266217151,1.53E+00
0.299798053,1.48E+00
0.315031335,1.46E+00
0.326642668,1.44E+00
0.340250711,1.42E+00
0.368369645,1.35E+00
0.390888384,1.30E+00
0.400960226,1.27E+00
0.416458165,1.24E+00
0.423348728,1.22E+00
0.460281504,1.11E+00
0.485571756,1.03E+00
0.495333407,1.00E+00
0.500596573,9.82E-01
0.512572265,9.41E-01
0.534608012,8.65E-01
0.55623993,7.91E-01
0.562713886,7.69E-01
0.564786144,7.61E-01
0.574195975,7.27E-01
0.590848874,6.66E-01
0.620604667,5.59E-01
0.631150957,5.21E-01
0.638876357,4.93E-01
0.677840469,3.59E-01
0.730756695,1.94E-01
0.731133303,1.93E-01
0.732279346,1.90E-01
0.794382789,4.96E-02
0.807987857,3.37E-02
0.824895442,-0.044115042
0.846779103,-0.057094696
0.849928,-0.060085705
0.866056301,-0.07637967
0.873067528,-0.080320867
0.88833752,-0.089132783
0.913166618,-0.102933854
0.942512782,-0.081941129
0.951253238,-0.076124796
0.962974797,-0.069067413
0.966731321,-0.06681039
0.968627674,-0.064021813
0.96927117,-0.063074584
0.98111219,-0.045559912
0.988469526,-0.03460067
0.989542898,-0.032561985
0.98994728,-0.031793645
1,-0.012643905
