y,u
0,1.05E-13
0.004780218,2.48E-01
0.006420861,3.33E-01
0.007833757,4.06E-01
0.009986511,5.18E-01
0.0158828,8.01E-01
0.017572605,8.82E-01
0.019118101,9.56E-01
0.02199941,1.09E+00
0.037646934,1.67E+00
0.038346858,1.70E+00
0.0495906,2.13E+00
0.061181001,2.56E+00
0.06169342,2.58E+00
0.063640952,2.64E+00
0.065072928,2.66E+00
0.068836261,2.74E+00
0.0779832,2.91E+00
0.125517688,3.58E+00
0.125713151,3.58E+00
0.126102233,3.59E+00
0.144229907,3.67E+00
0.168275793,3.68E+00
0.184450937,3.68E+00
0.186476278,3.67E+00
0.203831047,3.61E+00
0.234467302,3.47E+00
0.255395007,3.33E+00
0.257553794,3.32E+00
0.266217151,3.25E+00
0.299798053,2.96E+00
0.315031335,2.84E+00
0.326642668,2.73E+00
0.340250711,2.62E+00
0.368369645,2.33E+00
0.390888384,2.09E+00
0.400960226,1.98E+00
0.416458165,1.81E+00
0.423348728,1.73E+00
0.460281504,1.29E+00
0.485571756,9.96E-01
0.495333407,8.74E-01
0.500596573,8.09E-01
0.512572265,6.65E-01
0.534608012,4.04E-01
0.55623993,1.65E-01
0.562713886,1.13E-01
0.564786144,1.05E-01
0.574195975,-0.129583868
0.590848874,-0.291097233
0.620604667,-0.586507163
0.631150957,-0.675400352
0.638876357,-0.740689192
0.677840469,-1.068345291
0.730756695,-1.378895449
0.731133303,-1.38110649
0.732279346,-1.384306949
0.794382789,-1.535075451
0.807987857,-1.568197939
0.824895442,-1.584564519
0.846779103,-1.510601537
0.849928,-1.501915421
0.866056301,-1.457448209
0.873067528,-1.425220654
0.88833752,-1.355046302
0.913166618,-1.218656947
0.942512782,-0.914972986
0.951253238,-0.819381
0.962974797,-0.680482104
0.966731321,-0.635974022
0.968627674,-0.607680257
0.96927117,-0.598077139
0.98111219,-0.421186706
0.988469526,-0.311113276
0.989542898,-0.292709526
0.98994728,-0.285775993
1,-0.113392497
