ddExp,,dd-rfr,dd-mlr,dd-lr,dd-DT,dd-svr,dd3,dd2,dd1
2.25,0.00225,1.016567,1.710321,0.710321,1.35,1.183238,1.394101107,2.058142,0.804222
1.795147,0.001795147,1.733171,1.622145433,1.549724,1.753879,1.772837,8.698981667,3.788363,2.311284
1.76938,0.00176938,1.617359,1.8215563,1.871674,1.3939,1.594579,5.807681146,3.191509,1.932453
1.72,0.00172,1.2288,1.232214566,0.896829,1.02,0.724055,1.394101107,2.058142,0.804222
1.712611,0.001712611,1.733245,1.554136,1.3,1.733245,1.67902,8.67092734,3.777212,2.304733
1.712363,0.001712363,1.733245,1.525315,1.525315,1.733245,1.690566,8.67092734,3.777212,2.304733
1.5203,0.0015203,1.194258,1.018955,1.01,1.72994,1.244613,8.581543316,3.793096,2.311831
1.505662,0.001505662,1.323436,1.599629,1.4,1.387239,1.552315,5.753502494,3.155132,1.911634
1.421075,0.001421075,1.588798,1.510044,1.510044,1.733245,1.499629,5.735264902,3.142852,1.904605
1.38,0.00138,0.9783,0.684705,0.684705,0.618,0.642055,1.394101107,2.058142,0.804222
1.38,0.00138,0.9126,0.881477,0.881477,0.781,0.65776,1.394101107,2.058142,0.804222
1.35,0.00135,1.2344,1.100279,1.100279,0.826,0.765257,0.836455261,1.63678,0.634321
1.308165,0.001308165,0.961965,1.1125543,0.923563,1.72994,1.118854,8.618137613,3.791155,2.31141
1.139258,0.001139258,1.116721,1.422145663,0.861373,1.242,0.872142,0.439230983,2.678913,0.476886
1.131386,0.001131386,0.897051,1.025412,0.833978,0.672795,1.000003,8.657219397,3.789568,2.311222
1.041557,0.001041557,1.047363,1.11243,1.20871,1.041557,1.09875,4.506483782,2.816534,1.700497
1.02,0.00102,1.3935,0.801022021,0.699028,2.25,0.752524,0.836455261,1.63678,0.634321
1.017321,0.001017321,0.913434,1.51966,0.21966,0.974187,0.379606,0.193898718,0.204877,0.154863
0.957052,0.000957052,0.869684,0.900032541,0.836253,0.81533,0.956091,5.753502494,3.155132,1.911634
0.912807,0.000912807,0.881233,0.5421,0.21501,0.974187,0.372791,0.193898718,0.204877,0.154863
0.9,0.0009,0.7976,0.75412,0.669703,1.72,0.563901,1.394101107,2.058142,0.804222
0.85649,0.00085649,0.915939,1.021554,1.128544,0.85649,0.831538,3.840962757,2.625706,1.580944
0.855574,0.000855574,0.840198,0.98453,0.829139,0.819496,0.717817,4.079816968,2.25539,0.40255
0.781,0.000781,1.3894,0.62154,0.488798,0.685,0.610039,0.836455261,1.63678,0.634321
0.781,0.000781,0.4842,0.625123,0.675214,0.4,0.613734,0.836455261,1.63678,0.634321
0.708172,0.000708172,0.771752,0.62541,0.592001,0.957825,0.625236,5.807681146,3.191509,1.932453
0.700204,0.000700204,0.62304,0.92154,0.812032,0.633444,0.638321,0.289775439,2.003009,0.358186
0.685,0.000685,0.792883,0.6215,0.706143,0.618,0.913054,0.386183996,1.157378,0.442971
0.55,0.00055,0.480334,0.451236,0.199588,0.55,0.19986,0.443792631,0.194905,0.167428
0.52,0.00052,0.785077,0.8124,0.472123,0.826,0.711911,0.386183996,1.157378,0.442971
0.5,0.0005,0.477624,0.45512,0.220465,0.5,0.270807,0.381975446,0.226354,0.167428
0.499,0.000499,0.4246,0.67045,0.87045,0.37,0.62677,0.568353442,1.376363,0.530081
0.488518,0.000488518,0.517112,0.389616,0.189616,0.502953,0.317551,0.251348725,0.221503,0.16883
0.430176,0.000430176,0.485088,0.573157,0.773157,0.48934,0.426638,0.195206616,1.511587,0.271631
0.4,0.0004,0.5976,0.5107659,0.107659,0.618,0.70513,0.386183996,1.157378,0.442971
0.37,0.00037,0.4472,0.561004,0.661004,0.499,0.55585,0.386183996,1.157378,0.442971
0.37,0.00037,0.7495,0.47512,0.450905,0.52,0.493799,0.386183996,1.157378,0.442971
0.226733,0.000226733,0.218703,0.19254,0.153108,0.224289,0.24904,0.258735913,0.138497,0.154528
0.219404,0.000219404,0.228394,0.1743527,0.0743527,0.216238,0.27157,0.114155485,1.028789,0.186152
