P,um,Fluid,SAT,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
2434719.954,26.82932724,HFE-7000,Pressure,0.00469387,2.190472667,14.29662,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
2370577.728,26.12248568,HFE-7000,Pressure,0.0044498,2.076573333,13.76272,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
2306435.502,25.57960715,HFE-7000,Pressure,0.00426677,1.991159333,13.34746,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
2242293.275,24.83704006,HFE-7000,Pressure,0.00402264,1.877232,12.87288,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
2178151.049,23.72943026,HFE-7000,Pressure,0.00367186,1.713534667,12.04238,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
2114008.823,22.72155649,HFE-7000,Pressure,0.00336657,1.571066,11.5678,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
2049866.597,21.34227719,HFE-7000,Pressure,0.00297025,1.386116667,10.44068,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
1985724.37,19.86295649,HFE-7000,Pressure,0.00257276,1.200621333,10.38136,0.00006,0.005,0.00015,8,0.000625,0.00045,0.075,1400
1921582.144,20.48524538,HFE-7100,Pressure,0.00425342,2.468102921,11.88472603,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
1857439.918,19.57170421,HFE-7100,Pressure,0.00404046,2.344530079,10.84861644,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
1793297.692,18.74042394,HFE-7100,Pressure,0.0036442,2.114595,9.629671233,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
1729400,46.4084488,PSF-3,Pressure,0.028367347,1.136381155,9.017238938,0.00004,0.004,0.00015,47,0.000049,0.00269,0.113,898
1729400,50.99501284,PAO-2,Pressure,0.122857143,1.012747939,5.389725714,0.000016,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
1729155.466,17.60281355,HFE-7100,Pressure,0.00335439,1.946428934,8.959253425,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
1665013.239,16.3826904,HFE-7100,Pressure,0.00295625,1.715402961,9.507780822,0.00006,0.005,0.00015,6,0.000625,0.00038,0.073,1470
1600871.013,19.16219242,FC-72,Pressure,0.0042542,1.67509125,14.28413158,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
1557200,42.76367823,PSF-3,Pressure,0.023877551,1.028261437,8.327045133,0.000043,0.004,0.00015,47,0.000049,0.00269,0.113,898
1557200,46.99002825,PAO-2,Pressure,0.107142857,1.048812364,5.041663571,0.000019,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
1536728.787,18.30765291,FC-72,Pressure,0.00401091,1.579295813,12.64494737,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
1472586.561,17.53006141,FC-72,Pressure,0.00367439,1.446791063,12.80107895,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
1470997.5,32.54409624,Water,Pressure,0.00369057,0.297193687,1.618260937,8.05E-05,0.015,0.00043,7,0.000314,0.001,0.6,1000
1470997.5,32.54409624,Water,Pressure,0.00341887,0.275314269,1.521936201,8.05E-05,0.015,0.00043,7,0.000314,0.001,0.6,1000
1470997.5,32.54409624,Water,Pressure,0.0030566,0.235493251,1.363938861,7.70E-05,0.015,0.0004,7,0.000314,0.001,0.6,1000
1408444.334,16.46592433,FC-72,Pressure,0.00336988,1.32689025,11.23997368,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
1385000,39.11890766,PSF-3,Pressure,0.020612245,0.970216069,6.875309735,0.000047,0.004,0.00015,47,0.000049,0.00269,0.113,898
1385000,42.98504367,PAO-2,Pressure,0.091428571,1.083404772,4.807525714,0.000023,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
1344302.108,15.32460364,FC-72,Pressure,0.00295723,1.164409313,11.00578947,0.00006,0.005,0.00015,12,0.000625,0.00064,0.057,1680
1280159.882,19.22681011,FC-74,Pressure,0.0042704,1.435178734,11.74853906,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
1216017.656,18.66866251,FC-74,Pressure,0.0040264,1.353176203,11.05335938,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
1212800,35.47413709,PSF-3,Pressure,0.016326531,0.833891207,5.768867257,0.000051,0.004,0.00015,47,0.000049,0.00269,0.113,898
1212800,38.98005909,PAO-2,Pressure,0.076122449,1.058906198,4.445588571,0.000027,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
1151875.429,17.836132,FC-74,Pressure,0.00372091,1.250508361,10.70578125,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
1087733.203,17.07856769,FC-74,Pressure,0.00337007,1.132599475,9.80203125,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
1040600,31.82936652,PSF-3,Pressure,0.01244898,0.723114483,4.409201062,0.000058,0.004,0.00015,47,0.000049,0.00269,0.113,898
1040600,34.9750745,PAO-2,Pressure,0.059795918,0.92421661,4.032771429,0.00003,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
999740,16.04183788,FC-74,Pressure,0.00294258,0.988930367,9.106851563,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
980665,26.57214331,Water,Pressure,0.00273962,0.234443297,1.387012878,8.56E-05,0.015,0.0004,7,0.000314,0.001,0.6,1000
980665,26.57214331,Water,Pressure,0.00246792,0.211192538,1.31024059,8.56E-05,0.015,0.0004,7,0.000314,0.001,0.6,1000
947755.914,14.92991235,FC-74,Pressure,0.00256077,0.860613209,8.620242188,0.00006,0.005,0.00015,13,0.000625,0.00079,0.064,1770
908772.6417,18.80650121,FC-40,Pressure,0.00425938,0.347640574,7.050184615,0.00006,0.005,0.00015,57,0.000625,0.0034,0.065,1850
896000,21.88210837,FC-72,Pressure,0.009017857,16.5703125,39.78933333,0.00004,0.005,0.0007,12,0.000049,0.00064,0.057,1680
896000,20.57571384,FC-72,Pressure,0.002885714,5.3025,12.35723684,0.000025,0.005,0.0007,12,0.000049,0.00064,0.057,1680
896000,28.14306435,PSF-3,Pressure,0.07,1.75260223,9.425464602,0.000025,0.004,0.00015,47,0.000049,0.00269,0.113,898
896000,30.92445374,PAO-2,Pressure,0.130204082,1.677048342,7.385714286,0.000025,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
896000,21.2289111,FC-72,Pressure,0.005555,10.2073125,13.94826667,0.000016,0.005,0.0007,12,0.000049,0.00064,0.057,1680
856775.7764,18.26055502,FC-40,Pressure,0.00399964,0.326441206,6.844846154,0.00006,0.005,0.00015,57,0.000625,0.0034,0.065,1850
800000,26,Water,Pressure,0.0805614,89.44087751,225.132262,0.00111022,0.05,0.0045,7,0.002,0.001,0.6,1000
800000,26,Water,Pressure,0.0440148,38.23702122,116.6553705,0.000868731,0.05,0.0045,7,0.002,0.001,0.6,1000
800000,26,Water,Pressure,0.0300318,15.26116971,47.82901682,0.000508167,0.05,0.0045,7,0.002,0.001,0.6,1000
800000,26,Water,Pressure,0.0123941,4.822779798,20.31155783,0.000389119,0.05,0.0045,7,0.002,0.001,0.6,1000
795000,23.92488244,Water,Pressure,0.0805614,84,211,0.001042683,0.05,0.00445,7,0.002,0.001,0.6,1000
795000,23.92488244,Water,Pressure,0.0440148,33,100,0.000749748,0.05,0.00445,7,0.002,0.001,0.6,1000
790000,23.8495283,Water,Pressure,0.0805614,79,195,0.000980619,0.05,0.0044,7,0.002,0.001,0.6,1000
790000,23.8495283,Water,Pressure,0.0440148,28,87,0.00063615,0.05,0.0044,7,0.002,0.001,0.6,1000
785000,23.77393531,Water,Pressure,0.0805614,74,182,0.000918554,0.05,0.00435,7,0.002,0.001,0.6,1000
785000,23.77393531,Water,Pressure,0.0440148,23,72,0.000522552,0.05,0.00435,7,0.002,0.001,0.6,1000
782063.6951,17.4462241,FC-40,Pressure,0.00367892,0.300264794,6.434169231,0.00006,0.005,0.00015,57,0.000625,0.0034,0.065,1850
780000,23.69810119,Water,Pressure,0.0805614,69,170,0.00085649,0.05,0.0043,7,0.002,0.001,0.6,1000
780000,23.69810119,Water,Pressure,0.0440148,18,54.9152785,0.000408953,0.05,0.0043,7,0.002,0.001,0.6,1000
779000,23.68290523,Water,Pressure,0.0805614,67,180.9,0.000831664,0.05,0.00429,7,0.002,0.001,0.6,1000
779000,23.68290523,Water,Pressure,0.0805614,66,178.86,0.000819251,0.05,0.00428,7,0.002,0.001,0.6,1000
779000,23.68290523,Water,Pressure,0.079340773,65,174.85,0.000819251,0.05,0.00427,7,0.002,0.001,0.6,1000
779000,23.68290523,Water,Pressure,0.0805614,65,174.85,0.000806838,0.05,0.00427,7,0.002,0.001,0.6,1000
779000,23.68290523,Water,Pressure,0.079340773,64,166.4,0.000806647,0.05,0.00427,7,0.002,0.001,0.6,1000
779000,23.68290523,Water,Pressure,0.076861374,62,148.8,0.000806647,0.05,0.00427,7,0.002,0.001,0.6,1000
735498.75,23.01215114,Water,Pressure,0.00477736,0.486096786,2.33887833,0.00010175,0.018,0.00047,7,0.000314,0.001,0.6,1000
717040.4574,16.70522057,FC-40,Pressure,0.0033735,0.275337132,6.023469231,0.00006,0.005,0.00015,57,0.000625,0.0034,0.065,1850
700000,22.44994432,Water,Pressure,0.0805614,68,140.3362319,0.00085649,0.05,0.0043,7,0.002,0.001,0.6,1000
700000,22.44994432,Water,Pressure,0.0805614,66,151.8,0.000831664,0.05,0.00429,7,0.002,0.001,0.6,1000
700000,22.44994432,Water,Pressure,0.0805614,65,150.15,0.000819251,0.05,0.00428,7,0.002,0.001,0.6,1000
700000,22.44994432,Water,Pressure,0.079340773,64,146.56,0.000819251,0.05,0.00427,7,0.002,0.001,0.6,1000
700000,22.44994432,Water,Pressure,0.0805614,64,146.56,0.000806838,0.05,0.00427,7,0.002,0.001,0.6,1000
700000,22.44994432,Water,Pressure,0.079340773,63,138.6,0.000806647,0.05,0.00427,7,0.002,0.001,0.6,1000
700000,22.44994432,Water,Pressure,0.076861374,61,122,0.000806647,0.05,0.00427,7,0.002,0.001,0.6,1000
700000,26.19160171,R-134a,Pressure,0.000430689,0.064595863,0.8082515,0.000028,0.09,0.00051,13,0.0064,0.00023,0.01409,1232
689000,19.18866543,FC-72,Pressure,0.007834714,14.3962875,41.11335614,0.000043,0.005,0.0007,12,0.000049,0.00064,0.057,1680
689000,18.04307346,FC-72,Pressure,0.002481714,4.56015,12.12925614,0.000028,0.005,0.0007,12,0.000049,0.00064,0.057,1680
689000,27.11799916,PAO-2,Pressure,0.121020408,1.745812581,7.25464,0.000028,0.004,0.00015,76,0.000049,0.00461,0.14,791.7
689000,24.67896772,PSF-3,Pressure,0.057755102,1.619547531,6.386279646,0.000028,0.004,0.00015,47,0.000049,0.00269,0.113,898
689000,18.61586945,FC-72,Pressure,0.004804714,8.8286625,13.5892,0.000019,0.005,0.0007,12,0.000049,0.00064,0.057,1680
686465.5,22.23185013,Water,Pressure,0.00450566,0.466717056,2.29843902,0.000103585,0.015,0.00047,7,0.000314,0.001,0.6,1000
