,Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
0,188.4357911,200000,13,Water,Pressure,0.048464,107.9070346,0.00222654,0.05,0.045,7,0.002,0.001,0.6,1000
1,226.1768964,400000,18.38477631,Water,Pressure,0.0591102,104.5884057,0.00176938,0.05,0.045,7,0.002,0.001,0.6,1000
2,179,195000,11.84905059,Water,Pressure,0.048464,101.9999999,0.002104655,0.05,0.0445,7,0.002,0.001,0.6,1000
3,213,395000,16.86416319,Water,Pressure,0.0591102,99.00000915,0.001674838,0.05,0.0445,7,0.002,0.001,0.6,1000
4,228.7506058,600000,22.5166605,Water,Pressure,0.0700742,97.67642738,0.0013939,0.05,0.045,7,0.002,0.001,0.6,1000
5,172,190000,11.69615321,Water,Pressure,0.048464,97.0000175,0.002001486,0.05,0.044,7,0.002,0.001,0.6,1000
6,200,390000,16.75708805,Water,Pressure,0.0591102,93.99999555,0.00159025,0.05,0.044,7,0.002,0.001,0.6,1000
7,215,595000,20.69782597,Water,Pressure,0.0700742,91.99999673,0.001312894,0.05,0.0445,7,0.002,0.001,0.6,1000
8,165,185000,11.54123044,Water,Pressure,0.048464,91.99998662,0.001898316,0.05,0.0435,7,0.002,0.001,0.6,1000
9,225.132262,800000,26,Water,Pressure,0.0805614,89.44087751,0.00111022,0.05,0.045,7,0.002,0.001,0.6,1000
10,195,385000,16.64932431,Water,Pressure,0.0591102,88.99998195,0.001505662,0.05,0.0435,7,0.002,0.001,0.6,1000
11,205,590000,20.61067684,Water,Pressure,0.0700742,86.99999234,0.001241541,0.05,0.044,7,0.002,0.001,0.6,1000
12,148,180000,11.38419958,Water,Pressure,0.048464,87.00000421,0.001795147,0.05,0.043,7,0.002,0.001,0.6,1000
13,178.5,179000,11.35253276,Water,Pressure,0.048464,84.99999186,0.001753879,0.05,0.0429,7,0.002,0.001,0.6,1000
14,211,795000,23.92488244,Water,Pressure,0.0805614,84.00000224,0.001042683,0.05,0.0445,7,0.002,0.001,0.6,1000
15,184,380000,16.5408585,Water,Pressure,0.0591102,84.00002747,0.001421075,0.05,0.043,7,0.002,0.001,0.6,1000
16,177.24,179000,11.35253276,Water,Pressure,0.048464,83.99998568,0.001733245,0.05,0.0428,7,0.002,0.001,0.6,1000
17,173.47,179000,11.35253276,Water,Pressure,0.048464,82.9999795,0.001712611,0.05,0.0427,7,0.002,0.001,0.6,1000
18,173.47,179000,11.35253276,Water,Pressure,0.047887048,82.99998651,0.001733245,0.05,0.0427,7,0.002,0.001,0.6,1000
19,192,585000,20.52315765,Water,Pressure,0.0700742,81.99998795,0.001170188,0.05,0.0435,7,0.002,0.001,0.6,1000
20,205,379000,16.51907988,Water,Pressure,0.0591102,81.99997474,0.001387239,0.05,0.0429,7,0.002,0.001,0.6,1000
21,164,179000,11.35253276,Water,Pressure,0.047887048,82.00000917,0.001712363,0.05,0.0427,7,0.002,0.001,0.6,1000
22,203.31,379000,16.51907988,Water,Pressure,0.0591102,81.00000748,0.001370322,0.05,0.0428,7,0.002,0.001,0.6,1000
23,199.2,379000,16.51907988,Water,Pressure,0.0591102,79.99998112,0.001353404,0.05,0.0427,7,0.002,0.001,0.6,1000
24,199.2,379000,16.51907988,Water,Pressure,0.058380444,80.00000678,0.001370322,0.05,0.0427,7,0.002,0.001,0.6,1000
25,144,179000,11.35253276,Water,Pressure,0.046719071,80.00000857,0.001712363,0.05,0.0427,7,0.002,0.001,0.6,1000
26,195,790000,23.8495283,Water,Pressure,0.0805614,79.00003951,0.000980619,0.05,0.044,7,0.002,0.001,0.6,1000
27,189.6,379000,16.51907988,Water,Pressure,0.058380444,79.00000816,0.001353193,0.05,0.0427,7,0.002,0.001,0.6,1000
