Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
2.438641667,300000,15.18683641,Water,Gas,0.0291623,1.458115,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
1.989866667,258000,14.0836927,Water,Gas,0.0264885,1.324425,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
1.830941667,258000,14.0836927,Water,Gas,0.0231026,1.15513,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
2.327725,293000,15.00861086,Water,Gas,0.0221914,1.10957,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
1.665458333,258000,14.0836927,Water,Gas,0.0183126,0.91563,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
1.478608333,224000,13.1229265,Water,Gas,0.0153292,0.76646,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
1.328366667,224000,13.1229265,Water,Gas,0.0131876,0.65938,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
1.207616667,224000,13.1229265,Water,Gas,0.0116596,0.58298,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
1.111091667,307000,15.3629945,Water,Gas,0.010309,0.51545,0.00005,0.015,0.0001,7,0.00113411,0.001,0.6,1000
1.883675,293000,15.00861086,Water,Gas,0.00991081,0.4955405,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
1.500175,300000,15.18683641,Water,Gas,0.0095067,0.475335,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
1.269483333,258000,14.0836927,Water,Gas,0.00795682,0.397841,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
1.672933333,293000,15.00861086,Water,Gas,0.00774885,0.3874425,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
1.036308333,258000,14.0836927,Water,Gas,0.00665891,0.3329455,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
0.931341667,244000,13.69624766,Water,Gas,0.00535062,0.267531,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
0.751156667,224000,13.1229265,Water,Gas,0.00453922,0.226961,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
1.352833333,293000,15.00861086,Water,Gas,0.00396689,0.1983445,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
0.675071667,258000,14.0836927,Water,Gas,0.00364739,0.1823695,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
1.104191667,293000,15.00861086,Water,Gas,0.0034117,0.170585,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
0.628829167,307000,15.3629945,Water,Gas,0.00301222,0.150611,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
0.879825,258000,14.0836927,Water,Gas,0.00297434,0.148717,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
0.565095833,244000,13.69624766,Water,Gas,0.00245367,0.1226835,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
0.526460833,244000,13.69624766,Water,Gas,0.0019718,0.09859,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
0.5022675,244000,13.69624766,Water,Gas,0.00165093,0.0825465,0.00005,0.019,0.0001,7,0.00113411,0.001,0.6,1000
0.473640833,200000,12.4,Water,Gas,0.00129102,0.064551,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
0.497551667,258000,14.0836927,Water,Gas,0.0010099,0.050495,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
0.510390833,258000,14.0836927,Water,Gas,0.000758235,0.03791175,0.00005,0.023,0.0001,7,0.00113411,0.001,0.6,1000
