Nu,SVR,RFR,DT,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
188.4357911,184.6614747,187.6997866,190,200000,13,Water,Pressure,0.048464,107.9070346,0.00222654,0.05,0.045,7,0.002,0.001,0.6,1000
226.1768964,210.1438214,205.0043842,228.7506058,400000,18.38477631,Water,Pressure,0.0591102,104.5884057,0.00176938,0.05,0.045,7,0.002,0.001,0.6,1000
179,178.5435791,177.48455,179.5243,195000,11.84905059,Water,Pressure,0.048464,102,0.002104655,0.05,0.0445,7,0.002,0.001,0.6,1000
213,213.2,213.3575893,212.58,395000,16.86416319,Water,Pressure,0.0591102,99,0.001674838,0.05,0.0445,7,0.002,0.001,0.6,1000
228.7506058,222.2885291,220.9372401,238.7506058,600000,22.5166605,Water,Pressure,0.0700742,97.67642738,0.0013939,0.05,0.045,7,0.002,0.001,0.6,1000
172,172,173.6786718,172,190000,11.69615321,Water,Pressure,0.048464,97,0.002001486,0.05,0.044,7,0.002,0.001,0.6,1000
200,200.751,203.4311217,195.25311,390000,16.75708805,Water,Pressure,0.0591102,94,0.00159025,0.05,0.044,7,0.002,0.001,0.6,1000
215,214,215.5043283,227.25854,595000,20.69782597,Water,Pressure,0.0700742,92,0.001312894,0.05,0.0445,7,0.002,0.001,0.6,1000
165,167.05,172.0583563,160.258412,185000,11.54123044,Water,Pressure,0.048464,92,0.001898316,0.05,0.0435,7,0.002,0.001,0.6,1000
225.132262,224.0808702,218.8628283,221,800000,26,Water,Pressure,0.0805614,89.44087751,0.00111022,0.05,0.045,7,0.002,0.001,0.6,1000
195,200.451,200.0797498,200,385000,16.64932431,Water,Pressure,0.0591102,89,0.001505662,0.05,0.0435,7,0.002,0.001,0.6,1000
205,204.5,204.6388306,205.521563,590000,20.61067684,Water,Pressure,0.0700742,87,0.001241541,0.05,0.044,7,0.002,0.001,0.6,1000
148,178.122,175.8831695,158.5,180000,11.38419958,Water,Pressure,0.048464,87,0.001795147,0.05,0.043,7,0.002,0.001,0.6,1000
178.5,178.122,175.5465333,174.5,179000,11.35253276,Water,Pressure,0.048464,85,0.001753879,0.05,0.0429,7,0.002,0.001,0.6,1000
211,215.8396786,211.1052108,211,795000,23.92488244,Water,Pressure,0.0805614,84,0.001042683,0.05,0.0445,7,0.002,0.001,0.6,1000
184,199.813,199.5913701,205,380000,16.5408585,Water,Pressure,0.0591102,84,0.001421075,0.05,0.043,7,0.002,0.001,0.6,1000
177.24,177.24,175.5403958,177.24,179000,11.35253276,Water,Pressure,0.048464,84,0.001733245,0.05,0.0428,7,0.002,0.001,0.6,1000
173.47,174.918,167.8850513,175.47,179000,11.35253276,Water,Pressure,0.048464,83,0.001712611,0.05,0.0427,7,0.002,0.001,0.6,1000
173.47,174.164,172.1924833,175.47,179000,11.35253276,Water,Pressure,0.047887048,83,0.001733245,0.05,0.0427,7,0.002,0.001,0.6,1000
192,195.531,190.4255779,190,585000,20.52315765,Water,Pressure,0.0700742,82,0.001170188,0.05,0.0435,7,0.002,0.001,0.6,1000
205,200.783,202.4144747,207,379000,16.51907988,Water,Pressure,0.0591102,82,0.001387239,0.05,0.0429,7,0.002,0.001,0.6,1000
164,170.84,166.5886086,173.47,179000,11.35253276,Water,Pressure,0.047887048,82,0.001712363,0.05,0.0427,7,0.002,0.001,0.6,1000
203.31,202.165,202.4226719,205.31,379000,16.51907988,Water,Pressure,0.0591102,81,0.001370322,0.05,0.0428,7,0.002,0.001,0.6,1000
199.2,194.26,199.6689396,202,379000,16.51907988,Water,Pressure,0.0591102,80,0.001353404,0.05,0.0427,7,0.002,0.001,0.6,1000
199.2,193.3,198.8696802,202,379000,16.51907988,Water,Pressure,0.058380444,80,0.001370322,0.05,0.0427,7,0.002,0.001,0.6,1000
144,146.54,150.8261686,147,179000,11.35253276,Water,Pressure,0.046719071,80,0.001712363,0.05,0.0427,7,0.002,0.001,0.6,1000
195,195.22,192.691799,197,790000,23.8495283,Water,Pressure,0.0805614,79,0.000980619,0.05,0.044,7,0.002,0.001,0.6,1000
189.6,191.34,190.156975,186,379000,16.51907988,Water,Pressure,0.058380444,79,0.001353193,0.05,0.0427,7,0.002,0.001,0.6,1000
182,184.05,186.822901,185,580000,20.43526364,Water,Pressure,0.0700742,77,0.001098835,0.05,0.043,7,0.002,0.001,0.6,1000
169.4,179.02,168.2904458,166,379000,16.51907988,Water,Pressure,0.056902459,77,0.001353193,0.05,0.0427,7,0.002,0.001,0.6,1000
202.5,199.641,199.6639115,205,579000,20.41763943,Water,Pressure,0.0700742,75,0.001070294,0.05,0.0429,7,0.002,0.001,0.6,1000
182,182.0076232,184.7922222,181,785000,23.77393531,Water,Pressure,0.0805614,74,0.000918554,0.05,0.0435,7,0.002,0.001,0.6,1000
