Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
188.4357911,200000,13,Water,Pressure,0.048464,107.9070346,0.00222654,0.05,0.045,7,0.002,0.001,0.6,1000
226.1768964,400000,18.38477631,Water,Pressure,0.0591102,104.5884057,0.00176938,0.05,0.045,7,0.002,0.001,0.6,1000
179,195000,11.84905059,Water,Pressure,0.048464,102,0.002104655,0.05,0.0445,7,0.002,0.001,0.6,1000
213,395000,16.86416319,Water,Pressure,0.0591102,99,0.001674838,0.05,0.0445,7,0.002,0.001,0.6,1000
228.7506058,600000,22.5166605,Water,Pressure,0.0700742,97.67642738,0.0013939,0.05,0.045,7,0.002,0.001,0.6,1000
172,190000,11.69615321,Water,Pressure,0.048464,97,0.002001486,0.05,0.044,7,0.002,0.001,0.6,1000
200,390000,16.75708805,Water,Pressure,0.0591102,94,0.00159025,0.05,0.044,7,0.002,0.001,0.6,1000
215,595000,20.69782597,Water,Pressure,0.0700742,92,0.001312894,0.05,0.0445,7,0.002,0.001,0.6,1000
165,185000,11.54123044,Water,Pressure,0.048464,92,0.001898316,0.05,0.0435,7,0.002,0.001,0.6,1000
225.132262,800000,26,Water,Pressure,0.0805614,89.44087751,0.00111022,0.05,0.045,7,0.002,0.001,0.6,1000
195,385000,16.64932431,Water,Pressure,0.0591102,89,0.001505662,0.05,0.0435,7,0.002,0.001,0.6,1000
205,590000,20.61067684,Water,Pressure,0.0700742,87,0.001241541,0.05,0.044,7,0.002,0.001,0.6,1000
148,180000,11.38419958,Water,Pressure,0.048464,87,0.001795147,0.05,0.043,7,0.002,0.001,0.6,1000
178.5,179000,11.35253276,Water,Pressure,0.048464,85,0.001753879,0.05,0.0429,7,0.002,0.001,0.6,1000
211,795000,23.92488244,Water,Pressure,0.0805614,84,0.001042683,0.05,0.0445,7,0.002,0.001,0.6,1000
184,380000,16.5408585,Water,Pressure,0.0591102,84,0.001421075,0.05,0.043,7,0.002,0.001,0.6,1000
177.24,179000,11.35253276,Water,Pressure,0.048464,84,0.001733245,0.05,0.0428,7,0.002,0.001,0.6,1000
173.47,179000,11.35253276,Water,Pressure,0.048464,83,0.001712611,0.05,0.0427,7,0.002,0.001,0.6,1000
173.47,179000,11.35253276,Water,Pressure,0.047887048,83,0.001733245,0.05,0.0427,7,0.002,0.001,0.6,1000
192,585000,20.52315765,Water,Pressure,0.0700742,82,0.001170188,0.05,0.0435,7,0.002,0.001,0.6,1000
