P,Fluid,um,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
550000,water,20.5630737,2.907407,0.289003634,1.555425842,9.94E+01,1.58E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.58580988,9.94E+01,1.72E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.621260133,9.94E+01,1.85E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.65670873,9.94E+01,2.04E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.555425842,9.94E+01,2.25E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.48959155,9.94E+01,2.40E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.413628141,9.94E+01,2.57E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.373114986,9.94E+01,2.63E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.332601831,9.94E+01,2.75E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.281959558,9.94E+01,2.88E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.18067667,9.94E+01,2.96E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.135098956,9.94E+01,3.19E+01,4.00E+02,7,9,1,0.6,1000
550000,water,20.5630737,2.907407,0.289003634,1.094585801,9.94E+01,3.37E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.5130548,1.08E+02,1.30E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.6157088,1.08E+02,1.53E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.7068914,1.08E+02,1.77E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.7291826,1.08E+02,2.10E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.7458722,1.08E+02,2.35E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.6709634,1.08E+02,2.59E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.5672186,1.08E+02,2.93E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.520946,1.08E+02,3.17E+01,4.00E+02,7,9,1,0.6,1000
400000,water,16.97056275,2.955,0.31914,1.4457816,1.08E+02,3.54E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.407964263,9.72E+01,1.10E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.483095019,9.72E+01,1.38E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.578272306,9.72E+01,1.72E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.537639854,9.72E+01,1.91E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.522094722,9.72E+01,2.16E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.501492603,9.72E+01,2.42E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.470940109,9.72E+01,2.61E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.435332248,9.72E+01,2.81E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.379566091,9.72E+01,3.01E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.298492323,9.72E+01,3.27E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.222585687,9.72E+01,3.46E+01,4.00E+02,7,9,1,0.6,1000
600000,water,22.5166605,3.24963,0.315823207,1.136584515,9.72E+01,3.66E+01,4.00E+02,7,9,1,0.6,1000
460000,water,15.77238092,44.715846,5.965382933,9.112039498,1.33E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
460000,water,15.77238092,43.428592,5.793654847,8.930695644,1.33E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
460000,water,15.77238092,47.060302,6.278148548,9.438196069,1.33E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
460000,water,15.77238092,44.98817,6.001712684,9.150193747,1.33E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
460000,water,15.77238092,46.554516,6.210673424,9.368268847,1.33E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
460000,water,15.77238092,45.640112,6.088685967,9.241243659,1.33E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
360000,water,13.95306418,37.230713,5.292369477,8.559221434,1.42E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
360000,water,13.95306418,36.440159,5.179991817,8.433726115,1.42E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
360000,water,13.95306418,36.02901,5.12154668,8.368123597,1.42E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
360000,water,13.95306418,40.237621,5.719803403,9.029171435,1.42E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
360000,water,13.95306418,39.016921,5.546280117,8.839755713,1.42E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
360000,water,13.95306418,40.915333,5.816140622,9.133557384,1.42E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
360000,water,13.95306418,40.864298,5.808885891,9.125715408,1.42E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
260000,water,11.85782442,31.970337,4.944248232,8.385157679,1.55E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
260000,water,11.85782442,30.855383,4.771819453,8.182796695,1.55E+02,2.30E+01,6.00E+02,7,4,1,0.6,1000
