Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
188.4357911,200000,13,Water,Pressure,4.8464,107.9070346,2.22654,0.05,45,7,0.002,0.001,0.6,10
226.1768964,400000,18.38477631,Water,Pressure,5.91102,104.5884057,1.76938,0.05,45,7,0.002,0.001,0.6,10
179,195000,11.84905059,Water,Pressure,4.8464,102,2.104655,0.05,44.5,7,0.002,0.001,0.6,10
213,395000,16.86416319,Water,Pressure,5.91102,99,1.674838,0.05,44.5,7,0.002,0.001,0.6,10
228.7506058,600000,22.5166605,Water,Pressure,7.00742,97.67642738,1.3939,0.05,45,7,0.002,0.001,0.6,10
172,190000,11.69615321,Water,Pressure,4.8464,97,2.001486,0.05,44,7,0.002,0.001,0.6,10
200,390000,16.75708805,Water,Pressure,5.91102,94,1.59025,0.05,44,7,0.002,0.001,0.6,10
215,595000,20.69782597,Water,Pressure,7.00742,92,1.312894,0.05,44.5,7,0.002,0.001,0.6,10
165,185000,11.54123044,Water,Pressure,4.8464,92,1.898316,0.05,43.5,7,0.002,0.001,0.6,10
225.132262,800000,26,Water,Pressure,8.05614,89.44087751,1.11022,0.05,45,7,0.002,0.001,0.6,10
195,385000,16.64932431,Water,Pressure,5.91102,89,1.505662,0.05,43.5,7,0.002,0.001,0.6,10
205,590000,20.61067684,Water,Pressure,7.00742,87,1.241541,0.05,44,7,0.002,0.001,0.6,10
148,180000,11.38419958,Water,Pressure,4.8464,87,1.795147,0.05,43,7,0.002,0.001,0.6,10
178.5,179000,11.35253276,Water,Pressure,4.8464,85,1.753879,0.05,42.9,7,0.002,0.001,0.6,10
211,795000,23.92488244,Water,Pressure,8.05614,84,1.042683,0.05,44.5,7,0.002,0.001,0.6,10
184,380000,16.5408585,Water,Pressure,5.91102,84,1.421075,0.05,43,7,0.002,0.001,0.6,10
177.24,179000,11.35253276,Water,Pressure,4.8464,84,1.733245,0.05,42.8,7,0.002,0.001,0.6,10
171.4,179000,11.35253276,Water,Pressure,4.8464,83,1.712611,0.05,42.7,7,0.002,0.001,0.6,10
171.45,179000,11.35253276,Water,Pressure,4.7887048,83,1.733245,0.05,42.7,7,0.002,0.001,0.6,10
192,585000,20.52315765,Water,Pressure,7.00742,82,1.170188,0.05,43.5,7,0.002,0.001,0.6,10
205,379000,16.51907988,Water,Pressure,5.91102,82,1.387239,0.05,42.9,7,0.002,0.001,0.6,10
164,179000,11.35253276,Water,Pressure,4.7887048,82,1.712363,0.05,42.7,7,0.002,0.001,0.6,10
203.31,379000,16.51907988,Water,Pressure,5.91102,81,1.370322,0.05,42.8,7,0.002,0.001,0.6,10
199.2,379000,16.51907988,Water,Pressure,5.91102,80,1.353404,0.05,42.7,7,0.002,0.001,0.6,10
199.2,379000,16.51907988,Water,Pressure,5.8380444,80,1.370322,0.05,42.7,7,0.002,0.001,0.6,10
144,179000,11.35253276,Water,Pressure,4.6719071,80,1.712363,0.05,42.7,7,0.002,0.001,0.6,10
195,790000,23.8495283,Water,Pressure,8.05614,79,0.980619,0.05,44,7,0.002,0.001,0.6,10
189.6,379000,16.51907988,Water,Pressure,5.8380444,79,1.353193,0.05,42.7,7,0.002,0.001,0.6,10
182,580000,20.43526364,Water,Pressure,7.00742,77,1.098835,0.05,43,7,0.002,0.001,0.6,10
169.4,379000,16.51907988,Water,Pressure,5.6902459,77,1.353193,0.05,42.7,7,0.002,0.001,0.6,10
202.5,579000,20.41763943,Water,Pressure,7.00742,75,1.070294,0.05,42.9,7,0.002,0.001,0.6,10
182,785000,23.77393531,Water,Pressure,8.05614,74,0.918554,0.05,43.5,7,0.002,0.001,0.6,10
200.54,579000,20.41763943,Water,Pressure,7.00742,74,1.056023,0.05,42.8,7,0.002,0.001,0.6,10
192,579000,20.41763943,Water,Pressure,7.00742,73,1.041753,0.05,42.7,7,0.002,0.001,0.6,10
192,579000,20.41763943,Water,Pressure,6.9127251,73,1.056023,0.05,42.7,7,0.002,0.001,0.6,10
187.2,579000,20.41763943,Water,Pressure,6.9127251,72,1.041557,0.05,42.7,7,0.002,0.001,0.6,10
168,579000,20.41763943,Water,Pressure,6.720705,70,1.041557,0.05,42.7,7,0.002,0.001,0.6,10
170,780000,23.69810119,Water,Pressure,8.05614,69,0.85649,0.05,43,7,0.002,0.001,0.6,10
180.9,779000,23.68290523,Water,Pressure,8.05614,67,0.831664,0.05,42.9,7,0.002,0.001,0.6,10
178.86,779000,23.68290523,Water,Pressure,8.05614,66,0.819251,0.05,42.8,7,0.002,0.001,0.6,10
174.85,779000,23.68290523,Water,Pressure,8.05614,63,0.806838,0.05,42.7,7,0.002,0.001,0.6,10
174.85,779000,23.68290523,Water,Pressure,7.9340773,63,0.819251,0.05,42.7,7,0.002,0.001,0.6,10
166.4,779000,23.68290523,Water,Pressure,7.9340773,64,0.806647,0.05,42.7,7,0.002,0.001,0.6,10
